ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Total_Spending,Total_Purchases,Family_Size,Customer_Tenure_Days,Cluster,Customer_Segment
5524,1957,Graduation,Alone,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,57,1617,22,1,663,1.0,Higher-Value Customers
2174,1954,Graduation,Alone,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,60,27,4,3,113,0.0,Lower-Value Customers
4141,1965,Graduation,Partner,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,49,776,20,2,312,1.0,Higher-Value Customers
6182,1984,Graduation,Partner,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,30,53,6,3,139,0.0,Lower-Value Customers
5324,1981,PhD,Partner,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,33,422,14,3,161,1.0,Higher-Value Customers
7446,1967,Master,Partner,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,47,716,20,3,293,1.0,Higher-Value Customers
965,1971,Graduation,Alone,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,43,590,17,2,593,1.0,Higher-Value Customers
6177,1985,PhD,Partner,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,29,169,8,3,417,0.0,Lower-Value Customers
4855,1974,PhD,Partner,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,40,46,5,3,388,0.0,Lower-Value Customers
5899,1950,PhD,Partner,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,2,64,49,1,4,108,0.0,Lower-Value Customers
1994,1983,Graduation,Partner,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,1,31,19,3,3,226,0.0,Lower-Value Customers
387,1976,Basic,Partner,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,38,61,5,2,593,0.0,Lower-Value Customers
2125,1959,Graduation,Alone,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,55,1102,15,1,226,1.0,Higher-Value Customers
8180,1952,Master,Alone,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,2,62,310,12,3,226,0.0,Lower-Value Customers
2569,1987,Graduation,Partner,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,27,46,4,2,627,0.0,Lower-Value Customers
2114,1946,PhD,Alone,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,68,1315,25,1,582,1.0,Higher-Value Customers
